年份,排名(Rank),公司名称(Company),所在国家或地区(Country),所在行业(Industry),销售收入(Sales),利润(Profits),总资产(Assets),市值(Market Vaue)
2007,92,Munich Re /慕尼黑保险,德国(GE),保险,55.96,3.16,243.03,36.27
2007,92,Statoil Group /挪威石油公司,挪威(NO),炼油,67.86,6.51,50.55,54.59
2007,94,Deutsche Post /德国邮政集团,德国(GE),运输,79.87,2.53,202.39,38.20
2007,95,Telecom Italia /意大利电信,意大利(IT),电信运营商,35.28,3.80,110.19,58.64
2007,96,Unilever /联合利华,荷兰(NL)/英国(UK),食品、饮料和烟草,49.71,6.29,47.16,79.32
2007,97,BHP Billiton /必和必拓,澳大利亚(AU)/英国(UK),材料,31.85,10.35,46.83,122.29
2007,98,Aegon /荷兰全球人寿险,荷兰(NL),保险,47.16,3.50,414.61,31.46
2007,99,Allstate /好事达保险,美国(US),保险,35.80,4.99,157.55,37.19
2007,100,BASF /巴斯夫,德国(GE),化学制品,69.41,4.24,58.93,50.91
2007,101,Suez Group/苏伊士集团,法国(FR),公用事业,49.04,2.97,93.54,61.50
2007,102,American Express /美国运通,美国(US),综合金融,27.14,3.71,128.00,68.19
2007,103,Cisco Systems /思科,美国(US),技术硬件和装备,31.93,6.47,46.25,156.68
2007,104,Freddie Mac /弗雷迪马克,美国(US),综合金融,36.53,2.19,752.25,44.42
2007,105,Intel /英特尔,美国(US),半导体,35.38,5.04,48.37,114.53
2007,105,UnitedHealth Group/联合健康集团,美国(US),健康关怀设备和服务,71.68,4.17,46.45,70.29
2007,107,Walt Disney /迪斯尼,美国(US),媒体,35.16,4.34,60.99,70.16
2007,107,Intesa Sanpaolo/联合圣保罗银行,意大利(IT),银行,17.80,3.58,321.64,92.74
2007,109,US Bancorp /合众银行,美国(US),银行,19.11,4.75,219.23,63.01
2007,110,Washington Mutual /华盛顿共同基金,美国(US),银行,26.28,3.56,346.29,40.72
2007,111,Tyco International /泰科国际,百慕大(BU),多元化,41.69,3.95,63.68,60.96
2007,112,Tokyo Electric Power /东京电力,日本(JA),公用事业,44.72,2.64,113.00,47.03
2007,113,ENEL /意大利电力公司,意大利(IT),公用事业,37.82,4.60,57.59,64.36
2007,114,Lukoil Holding/卢克石油,俄罗斯(RU),炼油,54.95,6.35,40.16,65.99
2007,115,Carrefour Group /家乐福,法国(FR),食品市场,97.73,2.85,53.45,47.00
2007,116,Swiss Re Group /瑞士再险,瑞士(SZ),保险,31.25,3.74,223.44,31.88
2007,116,Toronto-Dominion Bank道明银行,加拿大(CA),银行,19.95,4.10,349.71,42.86
2007,118,Repsol-YPF /瑞普索,西班牙(SP),炼油,64.20 E,4.12,58.43,38.75
2007,119,Anglo American /英美集团,英国(UK),材料,33.07,6.19,46.11,70.36
2007,120,Renault /雷诺集团,法国(FR),耐用消费品,54.79,3.88,80.50,32.84
2007,121,Comcast/康卡斯特,美国(US),媒体,24.97,2.53,110.41,80.17
2007,122,United Technologies /联合技术,美国(US),多元化,47.83,3.73,47.14,65.29
2007,123,Royal Philips Electronics /飞利浦集团,荷兰(NL),多元化,35.59,7.10,51.05,40.60
2007,124,BMW-Bayerische Motor /宝马,德国(GE),耐用消费品,55.15,2.65,87.23,37.90
2007,125,WellPoint/伟彭医疗,美国(US),健康关怀设备和服务,56.95,3.09,51.76,48.62
2007,126,Mitsubishi/三菱,日本(JA),贸易公司,41.08,2.98,88.50,38.96
2007,127,Bank of Nova Scotia/诺瓦斯考地亚银行,加拿大(CA),银行,20.04,3.19,336.35,43.04
2007,128,Commonwealth Bank/澳大利亚联邦银行,澳大利亚(SA),银行,19.68,2.92,273.74,50.79
2007,129,Volkswagen Group /大众汽车,德国(GE),耐用消费品,112.61,1.32,153.91,44.01
2007,130,Boeing/波音,美国(US),航空和国防,61.53,2.22,51.79,68.87
2007,130,Vale do Rio Doce/甜河谷,巴西(BR),材料,20.82,6.17,57.60,77.38
2007,132,United Parcel Service/联合包裹,美国(US),运输,47.55,4.20,36.17,75.35
2007,133,Endesa /恩德萨电力,西班牙(SP),公用事业,25.91,3.92,67.84,53.77
2007,134,News Corp/新闻集团,美国(US),媒体,26.74,3.34,59.17,71.43
2007,135,Nokia/诺基亚,芬兰(FI),技术硬件和装备,54.25,5.68,28.77,86.38
2007,135,Travelers Cos/圣保罗旅行者保险,美国(US),保险,25.09,4.21,113.76,34.29
2007,137,Valero Energy/华拉罗能源,美国(US),炼油,91.83,5.46,37.75,34.76
2007,138,Nordea Bank/北欧联合银行,瑞典(SW),银行,17.07,3.96,456.35,39.33
2007,139,Tesco/泰斯克,英国(UK),食品市场,69.22,2.75,39.56,67.05
2007,140,Hartford Finl Service/哈特福德金融服务,美国(US),保险,26.50,2.75,326.71,30.28
2007,141,Danske Bank Group/丹麦银行,丹麦(DE),银行,25.19,2.40,484.52,31.60
2007,141,PepsiCo /百事可乐,美国(US),食品、饮料和烟草,35.14,5.64,29.93,103.42
2007,143,ANZ Banking/新西兰银行,澳大利亚(SA),银行,19.02,2.75,249.54,42.58
2007,144,Caterpillar/卡特彼勒,美国(US),重要物品,41.52,3.54,50.88,41.61
2007,145,Dow Chemical/陶氏化学,美国(US),化学制品,49.12,3.72,45.58,41.99
2007,146,Merck & Co/美国默克,美国(US),制药与生物技术,22.64,4.43,43.72,95.85
2007,147,Banco Bradesco/布拉德斯科银行,巴西(BR),银行,29.84,2.37,124.38,37.21
2007,148,Prudential /保德信金融,英国(UK),保险,70.66,1.29,352.82,32.26
2007,149,Commerzbank/德国商业银行,德国(GE),银行,29.40,2.00,801.18,27.06
2007,150,Target/塔吉特,美国(US),零售,59.49,2.79,37.35,52.90
2007,151,Rio Tinto/力拓矿业,英国(UK)/澳大利亚(SA),材料,22.47,7.44,34.27,81.48
2007,152,Motorola/摩托罗拉,美国(US),技术硬件和装备,42.88,3.66,38.57,44.77
2007,153,AstraZeneca/阿斯利康,英国(UK),制药与生物技术,27.89,6.37,28.71,85.73
2007,154,Standard Chartered Group/渣打银行,英国(UK),银行,17.56,2.40,265.51,38.75
2007,155,Coca-Cola /可口可乐,美国(US),食品、饮料和烟草,24.09,5.08,29.96,108.08
2007,155,Vivendi/威旺迪环球,法国(FR),媒体,23.03,3.73,50.47,45.57
2007,157,Mxller-Maersk/马士基,丹麦(DE),运输,33.06,3.18,44.91,42.38
2007,157,Saudi Basic Industries /沙特基础工业公司,沙特阿拉伯(SU),化学制品,20.87,5.11,36.52,76.83
2007,159,Canon /佳能,日本(JA),商业服务和供应,31.80,3.25,33.73,72.72
2007,160,Matsushita Electric Indl/松下电器,日本(JA),技术硬件和装备,75.69,1.31,66.06,44.24
2007,161,BT Group/英国电讯,英国(UK),电信运营商,33.94,2.69,41.63,48.06
2007,162,Nomura Holdings /日本野村控股公司,日本(JA),综合金融,14.74,2.59,296.84,41.43
2007,163,Marathon Oil/马拉松石油,美国(US),炼油,52.99,5.23,30.83,31.89
2007,164,Sony /索尼,日本(JA),技术硬件和装备,63.62,1.05,88.75,52.14
2007,165,Nippon Steel /新日本制铁,日本(JA),材料,33.24,2.93,38.29,43.57
2007,166,Banco do Brasil /巴西银行,巴西(BR),银行,22.15,2.78,138.68,26.78
2007,167,EADS/欧洲航空和国防,荷兰(NL),航空和国防,40.43,1.98,81.20,27.93
2007,168,Countrywide Financial /国家金融服务,美国(US),综合金融,24.44,2.67,199.95,22.44
2007,169,Wyeth /惠氏,美国(US),制药与生物技术,20.35,4.20,36.48,65.88
2007,170,Canadian Imperial Bank/加拿大皇家银行,加拿大(CA),银行,18.05,2.36,270.38,28.93
2007,170,Legal & General Group/法通保险,英国(UK),保险,53.25,1.59,324.89,20.03
2007,172,Westpac Banking Group/西太平洋银行,澳大利亚(SA),银行,16.08,2.29,223.08,37.14
2007,173,Gaz de France/法国天然气公司,法国(FR),公用事业,26.47,2.06,52.85,43.26
2007,174,Fiat Group/菲亚特集团,意大利(IT),耐用消费品,55.02,1.57,71.34,30.19
2007,175,Lowe's Cos/劳氏,美国(US),零售,46.93,3.11,27.77,49.64
2007,176,Hutchison Whampoa/和记黄埔,中国香港(HK)/中国大陆(CN),多元化,23.55,1.85,74.97,40.57
2007,177,América Móvil/美洲电信,墨西哥(MX),电信运营商,21.67,4.02,29.68,77.30
2007,177,Bank of Montreal /蒙特利尔银行,加拿大(CA),银行,16.19,2.37,285.19,30.22
2007,179,Mitsui & Co /三井物产,日本(JA),贸易公司,35.02,1.70,72.55,30.97
2007,179,Sprint Nextel /斯普林特 -耐斯,美国(US),电信运营商,41.03,1.00,97.16,55.87
2007,181,China Telecom/中国电信,中国大陆(CN),电信运营商,20.98,3.46,50.34,37.50
2007,182,Kookmin Bank/韩国国民银行,韩国(KO),银行,18.00,2.21,179.97,30.29
2007,183,Norsk Hydro/挪威海德鲁,挪威(NO),多元化,32.16,2.79,37.49,37.92
2007,184,EI du Pont de Nemours/杜邦,美国(US),化学制品,28.98,3.15,31.78,46.88
2007,185,LM Ericsson/爱立信,瑞典(SW),技术硬件和装备,25.97,3.83,29.41,56.47
2007,186,Bayer Group /拜耳,德国(GE),化学制品,32.37,1.89,42.24,43.89
2007,187,National Grid/NGT能源,英国(UK),公用事业,15.99,6.69,44.81,40.51
2007,188,Korea Electric Power/韩国电力,韩国(KO),公用事业,25.09,2.37,73.69,26.98
2007,189,British Amer Tobacco/英美烟草,英国(UK),食品、饮料和烟草,19.10,3.71,34.25,62.61
2007,190,Old Mutual/老年互助保险,英国(UK),保险,38.97,1.64,249.12,19.00
2007,191,Loews/罗斯,美国(US),保险,17.21,2.49,76.88,36.11
2007,192,Capital One Financial /第一金融,美国(US),综合金融,15.19,2.41,150.00,31.57
2007,192,Rosneft/俄罗斯石油,俄罗斯(RU),炼油,17.67,4.16,30.01,76.56
